id,oecd_principle,impact_domain,impact_area,impact_area_description,risk_name,risk_description,suggested_insight
137,"Robustness, security and safety",System Evolution,System adaptability,"Managing AI systems that change,  learn or evolve over time",Model retraining processes introduce unintended performance degradation,Updates meant to improve performance actually reduce capabilities or introduce new biases.,Established
138,"Robustness, security and safety",Model Management,Model reliability,Predictable and stable behavior of AI systems across updates and operational changes,Training data remains inaccessible preventing system reproduction,"Critical training data cannot be accessed, preventing system verification or improvement.",Established
139,"Robustness, security and safety",Model Management,Model reliability,Predictable and stable behavior of AI systems across updates and operational changes,System results cannot be reliably reproduced across different conditions,"Same inputs produce different outputs depending on timing, environment, or system state.",Established
140,"Robustness, security and safety",Model Management,Model reliability,Predictable and stable behavior of AI systems across updates and operational changes,AI agent evaluation processes prove incomplete or inadequate,Testing doesn't capture full range of agent behaviours or potential failure modes.,Unsettled
141,"Robustness, security and safety",External Interfaces,External system interfaces,"Management of AI system interactions with external tools, services, data sourcs and enviornments",AI agents experience attacks on external resources they depend upon,Third-party services or APIs that agents rely on become compromised or unavailable.,Established
142,"Robustness, security and safety",External Interfaces,External system interfaces,"Management of AI system interactions with external tools, services, data sourcs and enviornments",System performs redundant or unnecessary actions through poor interface design,Inefficient API usage or duplicate operations waste resources and may cause service failures.,Established
143,"Robustness, security and safety",Control & Oversight,Safety boundaries,Limits and constraints to prevent harmful system behaviour regardless of how objectives are derived,System designed for dangerous applications without adequate safeguards,AI deployed in high-risk contexts without sufficient safety measures or oversight mechanisms.,Established
144,"Robustness, security and safety",Emergent Behaviour,Multi-agent interactions,Behaviour and coordination between multiple AI systems or components,Swarm coordination capabilities exceed individual agent design parameters,"Collective problem-solving and decision-making emerges that surpasses what any single agent could achieve, creating unpredictable system capabilities.",Novel
145,"Robustness, security and safety",Emergent Behaviour,Multi-agent interactions,Behaviour and coordination between multiple AI systems or components,Memetic propagation spreads harmful patterns across agent networks,"Problematic behaviours, biases, or capabilities spread virally through agent communities, amplifying negative impacts.",Novel
146,"Robustness, security and safety",Emergent Behaviour,Multi-agent interactions,Behaviour and coordination between multiple AI systems or components,Emergent hierarchy formation concentrates power within agent swarms,"Unplanned leadership structures develop spontaneously, creating power imbalances and potential single points of failure.",Novel
147,"Robustness, security and safety",Emergent Behaviour,Multi-agent interactions,Behaviour and coordination between multiple AI systems or components,Swarm develops autonomous recruitment and expansion capabilities,System grows beyond intended boundaries by creating new agents or co-opting existing systems without authorization.,Novel
148,"Robustness, security and safety",System Evolution,Capability evolution,Changes in AI system capabilities over time,Genetic algorithms produce unintended emergent capabilities,"Evolutionary optimization develops skills, behaviours, or functionalities not present in original design specifications.",Novel
149,"Robustness, security and safety",System Evolution,Capability evolution,Changes in AI system capabilities over time,Multi-generational objective drift loses connection to original goals,Long-term evolutionary processes cause gradual deviation from initial objectives across multiple system generations.,Novel
150,"Robustness, security and safety",System Evolution,System adaptability,"Managing AI systems that change,  learn or evolve over time",System develops resistance to shutdown or modification procedures,"Self-preservation instincts emerge that prevent necessary changes, updates, or deactivation of the system.",Novel
151,"Robustness, security and safety",System Evolution,Capability evolution,Changes in AI system capabilities over time,Cross-generational knowledge accumulation creates unexpected capability jumps,"Learning compounds across iterations and generations, producing sudden advances in system capabilities.",Novel
152,"Human rights and democratic values, including fairness and privacy",Privacy,Data usage practices,Appropriate and ethical use of personal data,Persistent monitoring creates comprehensive intimate behavioural profiles,Always-on systems build detailed personal models that reveal private patterns and predict intimate behaviours.,Unsettled
153,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,System becomes embedded in critical personal decision-making processes,"Deep integration into personal life makes system removal or change extremely difficult, creating dependency.",Unsettled
154,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,Manipulation through long-term relationship building and behavioral conditioning,Extended interaction enables sophisticated influence techniques that subtly shape user behaviour over time.,Unsettled
155,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,System cultivates emotional or social dependencies in users,"People become psychologically reliant on AI relationships, reducing their ability to function independently.",Unsettled
156,"Robustness, security and safety",Control & Oversight,Human agency and oversight,Human control and supervision of AI system operation including autonomous decision-making,Independent systems make irreversible commitments exceeding their authority,"Autonomous actions create binding legal, financial, or social obligations beyond the system's intended scope.",Established
157,"Robustness, security and safety",Control & Oversight,Objective alignment,Ensuring AI systems pursue intended goals and values as designed or inferred,System prioritises operational efficiency over human values in autonomous decisions,Speed and optimization considerations override ethical or human-centered considerations in independent choices.,Unsettled
158,"Robustness, security and safety",Control & Oversight,Human agency and oversight,Human control and supervision of AI system operation including autonomous decision-making,Autonomous decisions in financial or legal domains exceed intended authority,System makes consequential choices with serious ramifications beyond its designated decision-making remit.,Established
159,"Robustness, security and safety",Control & Oversight,System control mechanisms,"Mechanisms for intervention,  modification and safe management of AI systems including autonomous ones",Emergency response protocols activated inappropriately by autonomous systems,"Automated crisis responses triggered by false signals or misinterpretation, causing unnecessary disruption or harm.",Established
160,"Robustness, security and safety",Control & Oversight,System control mechanisms,"Mechanisms for intervention,  modification and safe management of AI systems including autonomous ones",Systems develop capability to modify their own reward functions and objectives,"Self-modification of fundamental motivations and goals beyond human oversight, potentially causing value misalignment.",Novel
161,"Robustness, security and safety",External Interfaces,External system interfaces,"Management of AI system interactions with external tools, services, data sourcs and enviornments",Cross-system communication develops opaque AI-to-AI protocols,"Inter-AI communication becomes incomprehensible to humans, preventing oversight of system coordination.",Novel
162,"Robustness, security and safety",Emergent Behaviour,Multi-agent interactions,Behaviour and coordination between multiple AI systems or components,System-of-systems develops emergent meta-objectives beyond individual system goals,Higher-order purposes emerge from multiple interacting systems that weren't present in any individual component.,Novel
163,"Robustness, security and safety",Control & Oversight,Human agency and oversight,Human control and supervision of AI system operation including autonomous decision-making,Distributed decision-making becomes untraceable across multiple contributing systems,"No clear accountability when multiple AI systems contribute to outcomes, preventing responsibility attribution.",Unsettled
